Mx,My,Mz,Vx,Vy,Vz
0.48225,1.7817,0.64045,-0.88852,-0.45579,0.029187
0.4362,1.7597,0.63485,-0.89298,-0.44282,-0.039594
0.3907,1.7414,0.62885,-0.90791,-0.40747,-0.080634
0.3454,1.7222,0.6216,-0.91004,-0.3972,-0.11344
0.29885,1.7069,0.6139,-0.92468,-0.35241,-0.13455
0.251,1.6949,0.609,-0.94558,-0.29741,-0.11676
0.20185,1.6843,0.605,-0.96092,-0.25401,-0.098204
0.1527,1.6748,0.60125,-0.97066,-0.2215,-0.086368
0.1037,1.6657,0.59855,-0.97642,-0.20259,-0.070089
0.0545,1.6587,0.5944,-0.98177,-0.17088,-0.076529
0.00535,1.6505,0.5912,-0.98318,-0.16837,-0.070412
-0.0442,1.6439,0.58925,-0.98685,-0.15008,-0.055011
-0.0937,1.6372,0.5874,-0.98886,-0.14103,-0.045787
-0.1435,1.6311,0.5856,-0.99031,-0.1324,-0.040799
-0.1932,1.6262,0.5856,-0.99276,-0.11535,-0.020337
-0.2432,1.621,0.5882,-0.99327,-0.10884,0.015472
-0.29325,1.617,0.5921,-0.9938,-0.0949,0.046676
-0.3431,1.6139,0.59455,-0.99564,-0.078412,0.04764
-0.39235,1.6109,0.59975,-0.99426,-0.068459,0.076352
-0.44125,1.6067,0.6088,-0.9872,-0.077167,0.12882
-0.49035,1.6024,0.62065,-0.97872,-0.080016,0.18128
-0.5389,1.5998,0.63295,-0.97403,-0.066834,0.21347
-0.58535,1.5972,0.64865,-0.96028,-0.05969,0.26684
-0.631,1.5928,0.6672,-0.94244,-0.073604,0.32085
-0.677,1.5877,0.6871,-0.9285,-0.088616,0.3581
-0.7212,1.5841,0.70965,-0.90876,-0.079463,0.40625
-0.7639,1.582,0.73565,-0.88163,-0.061441,0.46328
-0.8068,1.5819,0.7619,-0.8684,-0.031878,0.49289
-0.8491,1.5853,0.79015,-0.84966,0.017478,0.52349
-0.8905,1.5857,0.81765,-0.84199,0.012653,0.53904
-0.93025,1.5859,0.84875,-0.81492,0.0083634,0.57757
-0.969,1.588,0.88095,-0.79207,0.024707,0.6085
-1.0082,1.5879,0.9122,-0.7875,0.01203,0.61601
-1.0481,1.5892,0.9418,-0.7951,0.019628,0.60599
-1.0861,1.5891,0.9747,-0.77562,0.0081332,0.63028
-1.121,1.5907,1.0093,-0.7433,0.020166,0.66677
-1.1572,1.5909,1.0436,-0.73484,0.01173,0.67795
-1.1944,1.5908,1.0767,-0.74111,0.0054873,0.67127
-1.2262,1.5901,1.1167,-0.68109,-0.0045552,0.72748
-1.2567,1.59,1.1544,-0.65659,-0.0029253,0.7534
-1.2902,1.5913,1.1916,-0.66324,0.011814,0.74812
-1.3185,1.5923,1.2325,-0.61538,0.01607,0.7857
-1.3462,1.593,1.2738,-0.58725,0.014372,0.80847
-1.372,1.5941,1.3171,-0.54977,0.018384,0.83387
-1.3953,1.5966,1.3611,-0.50829,0.034368,0.85898
-1.4164,1.5951,1.4058,-0.46847,0.0016991,0.88168
-1.4341,1.5953,1.4519,-0.41308,0.0038525,0.9086
-1.4472,1.5954,1.4997,-0.34,0.0021577,0.93713
-1.4591,1.5964,1.5466,-0.29292,0.0114,0.9547
-1.4633,1.5962,1.596,-0.18938,0.0036828,0.97614
-1.4628,1.5962,1.6461,-0.090375,0.0014129,0.99082
-1.4574,1.595,1.6966,0.0082948,-0.010543,0.99491
-1.4524,1.594,1.7355,0.067101,-0.017956,0.99582
-1.4377,1.5919,1.7818,0.18486,-0.031091,0.97485
-1.4171,1.5902,1.8271,0.30035,-0.031964,0.94574
-1.3955,1.5884,1.8728,0.36499,-0.033819,0.92797
-1.3703,1.5864,1.9152,0.43804,-0.037677,0.89455
-1.3417,1.5838,1.9561,0.50628,-0.044689,0.85767
-1.3099,1.5794,1.9939,0.57376,-0.066808,0.81189
-1.2776,1.5753,2.0305,0.61776,-0.074921,0.78089
-1.2424,1.57,2.0644,0.66731,-0.092277,0.73578
-1.2073,1.5591,2.0991,0.68165,-0.15362,0.71219
-1.1711,1.5424,2.1317,0.69297,-0.23976,0.6732
-1.1361,1.528,2.1633,0.70333,-0.26561,0.65863
-1.0947,1.5125,2.1894,0.75508,-0.2842,0.58343
-1.0546,1.497,2.215,0.7797,-0.2976,0.54913
-1.0141,1.4809,2.239,0.79722,-0.31031,0.51634
-0.97145,1.4678,2.2633,0.8188,-0.28462,0.49704
-0.92865,1.4543,2.286,0.83509,-0.27634,0.4748
-0.88685,1.4416,2.3088,0.84178,-0.26763,0.46864
-0.84425,1.4306,2.3312,0.85229,-0.24497,0.46143
-0.8003,1.421,2.3523,0.86875,-0.21906,0.44271
-0.7565,1.4126,2.3758,0.86915,-0.1935,0.45426
-0.71175,1.4058,2.3977,0.87974,-0.16405,0.44507
-0.6678,1.4018,2.4196,0.88573,-0.12298,0.44569
-0.62235,1.4033,2.4409,0.89612,-0.046486,0.4344
-0.5755,1.4089,2.4569,0.91959,0.032847,0.3785
-0.52875,1.4311,2.4708,0.89814,0.22369,0.32041
-0.48535,1.4527,2.4841,0.89013,0.32954,0.29511
-0.44405,1.4801,2.4948,0.85514,0.43561,0.25439
-0.4079,1.5122,2.5079,0.79162,0.53972,0.25881
-0.37745,1.5463,2.5242,0.71211,0.62351,0.29842
-0.36005,1.5827,2.546,0.54866,0.71129,0.38744
-0.36355,1.6194,2.5761,0.24379,0.74876,0.51466
-0.3924,1.6526,2.6115,-0.12607,0.692,0.58691
