Mx,My,Mz,Vx,Vy,Vz
34.002,11.701,49.763,-0.98685,-0.15008,-0.055011
33.012,11.569,49.726,-0.98886,-0.14103,-0.045787
32.016,11.445,49.69,-0.99031,-0.1324,-0.040799
31.022,11.347,49.69,-0.99276,-0.11535,-0.020337
30.022,11.244,49.742,-0.99327,-0.10884,0.015472
29.021,11.163,49.82,-0.9938,-0.0949,0.046676
28.024,11.101,49.869,-0.99564,-0.078412,0.04764
27.039,11.043,49.973,-0.99426,-0.068459,0.076352
26.061,10.957,50.154,-0.9872,-0.077167,0.12882
25.079,10.873,50.391,-0.97872,-0.080016,0.18128
24.108,10.819,50.637,-0.97403,-0.066834,0.21347
23.179,10.768,50.951,-0.96028,-0.05969,0.26684
22.266,10.681,51.322,-0.94244,-0.073604,0.32085
21.346,10.577,51.72,-0.9285,-0.088616,0.3581
20.462,10.507,52.171,-0.90876,-0.079463,0.40625
19.608,10.464,52.691,-0.88163,-0.061441,0.46328
18.75,10.462,53.216,-0.8684,-0.031878,0.49289
17.904,10.53,53.781,-0.84966,0.017478,0.52349
17.076,10.537,54.331,-0.84199,0.012653,0.53904
16.281,10.542,54.953,-0.81492,0.0083634,0.57757
15.506,10.583,55.597,-0.79207,0.024707,0.6085
14.721,10.582,56.222,-0.7875,0.01203,0.61601
13.924,10.609,56.814,-0.7951,0.019628,0.60599
13.163,10.606,57.472,-0.77562,0.0081332,0.63028
12.465,10.638,58.163,-0.7433,0.020166,0.66677
11.741,10.641,58.85,-0.73484,0.01173,0.67795
10.998,10.64,59.511,-0.74111,0.0054873,0.67127
10.363,10.625,60.312,-0.68109,-0.0045552,0.72748
9.7514,10.624,61.066,-0.65659,-0.0029253,0.7534
9.0814,10.651,61.809,-0.66324,0.011814,0.74812
8.5168,10.671,62.628,-0.61538,0.01607,0.7857
7.962,10.683,63.453,-0.58725,0.014372,0.80847
7.4458,10.706,64.319,-0.54977,0.018384,0.83387
6.9807,10.756,65.2,-0.50829,0.034368,0.85898
6.5575,10.725,66.094,-0.46847,0.0016991,0.88168
6.205,10.731,67.016,-0.41308,0.0038525,0.9086
5.9413,10.732,67.971,-0.34,0.0021577,0.93713
5.7043,10.752,68.909,-0.29292,0.0114,0.9547
5.6196,10.748,69.898,-0.18938,0.0036828,0.97614
5.6293,10.747,70.899,-0.090375,0.0014129,0.99082
5.7386,10.724,71.91,0.0082948,-0.010543,0.99491
5.8374,10.704,72.689,0.067101,-0.017956,0.99582
6.1316,10.661,73.615,0.18486,-0.031091,0.97485
6.5441,10.629,74.52,0.30035,-0.031964,0.94574
6.9759,10.593,75.433,0.36499,-0.033819,0.92797
7.4797,10.552,76.281,0.43804,-0.037677,0.89455
8.0529,10.5,77.099,0.50628,-0.044689,0.85767
8.6872,10.412,77.856,0.57376,-0.066808,0.81189
9.3338,10.331,78.588,0.61776,-0.074921,0.78089
10.038,10.223,79.267,0.66731,-0.092277,0.73578
10.739,10.007,79.96,0.68165,-0.15362,0.71219
11.463,9.6714,80.611,0.69297,-0.23976,0.6732
12.164,9.3848,81.244,0.70333,-0.26561,0.65863
12.991,9.0743,81.765,0.75508,-0.2842,0.58343
13.794,8.7638,82.278,0.7797,-0.2976,0.54913
14.604,8.4429,82.759,0.79722,-0.31031,0.51634
15.457,8.1801,83.244,0.8188,-0.28462,0.49704
16.313,7.9106,83.699,0.83509,-0.27634,0.4748
17.149,7.6555,84.154,0.84178,-0.26763,0.46864
18.001,7.4358,84.603,0.85229,-0.24497,0.46143
18.88,7.2441,85.024,0.86875,-0.21906,0.44271
19.756,7.075,85.493,0.86915,-0.1935,0.45426
20.651,6.9396,85.932,0.87974,-0.16405,0.44507
21.53,6.859,86.371,0.88573,-0.12298,0.44569
