Mx,My,Mz,Vx,Vy,Vz
4.2588,1.4557,-1.8989,0,0,1
4.2486,1.4654,-1.8377,-0.081122,0.077505,0.98725
4.2422,1.472,-1.7852,-0.10151,0.10052,0.98928
4.2385,1.4775,-1.7356,-0.087238,0.10549,0.99047
4.2362,1.4809,-1.6857,-0.066428,0.08586,0.99367
4.2353,1.4833,-1.6352,-0.041971,0.067487,0.99636
4.2351,1.4852,-1.5829,-0.023691,0.051502,0.99809
4.2352,1.4855,-1.5286,-0.010793,0.029005,0.99918
4.2355,1.4854,-1.476,-0.002142,0.013393,0.99975
4.2355,1.4845,-1.4247,-0.0016364,-0.0023662,0.99987
4.2355,1.4829,-1.3743,-0.00052117,-0.017104,0.99974
4.2352,1.4812,-1.3242,-0.0029262,-0.025074,0.99965
4.2353,1.479,-1.2744,-0.00052408,-0.034625,0.99935
4.236,1.475,-1.2253,0.0067347,-0.05848,0.99795
4.2371,1.4683,-1.1765,0.01486,-0.097071,0.99438
4.2385,1.4538,-1.1277,0.020798,-0.1911,0.97665
4.2414,1.4238,-1.0865,0.038432,-0.38969,0.89427
4.243,1.3858,-1.0515,0.03536,-0.56727,0.79649
4.2432,1.3402,-1.0251,0.020118,-0.72275,0.65722
4.2455,1.2904,-1.007,0.0324,-0.83912,0.50747
4.2451,1.2405,-0.99405,0.01203,-0.91164,0.38388
4.244,1.1907,-0.9834,-0.0037862,-0.94961,0.29864
4.2443,1.1408,-0.9731,0.0010273,-0.96663,0.25109
4.2439,1.0903,-0.96405,-0.0039886,-0.97608,0.21388
4.2444,1.04,-0.95645,0.0029674,-0.98281,0.18149
4.2443,0.99095,-0.9469,0.0010308,-0.98249,0.18624
4.2445,0.9425,-0.9389,0.0020421,-0.98456,0.17465
4.2442,0.89265,-0.9329,-0.0020008,-0.98872,0.14709
4.2438,0.84355,-0.93065,-0.0057234,-0.99401,0.096536
4.2434,0.7932,-0.9287,-0.0060917,-0.99726,0.067799
4.2447,0.7399,-0.9293,0.0090306,-0.99866,0.028159
