Mx,My,Mz,Vx,Vy,Vz
4.2485,0.6851,-0.92915,0.038513,-0.99862,0.015612
4.2527,0.6329,-0.9296,0.060172,-0.99787,0.0033207
4.2593,0.5818,-0.92995,0.094294,-0.99494,-0.0015522
4.2709,0.53145,-0.9296,0.15884,-0.98513,0.0026903
4.2769,0.48125,-0.9285,0.13917,-0.98995,0.011906
4.2825,0.43235,-0.92785,0.12645,-0.99181,0.01286
4.288,0.38355,-0.9264,0.11933,-0.99257,0.021204
4.2925,0.3352,-0.93015,0.1056,-0.99268,-0.028239
4.2942,0.28615,-0.9361,0.070903,-0.99308,-0.073938
4.2931,0.2362,-0.9428,0.023936,-0.99276,-0.10374
4.2928,0.1873,-0.9499,0.0097233,-0.99193,-0.12395
4.2873,0.13915,-0.95905,-0.051462,-0.9843,-0.15423
4.2833,0.0909,-0.9672,-0.067245,-0.98457,-0.16066
4.2773,0.04295,-0.97565,-0.09446,-0.98112,-0.16642
4.2703,-0.0054,-0.98545,-0.11718,-0.97598,-0.18155
4.2652,-0.05485,-0.99525,-0.10919,-0.97615,-0.18738
4.2577,-0.10415,-1.0041,-0.12859,-0.9748,-0.18115
4.2503,-0.1531,-1.0125,-0.13767,-0.97493,-0.17445
4.2419,-0.20185,-1.019,-0.1538,-0.97591,-0.15232
4.2306,-0.24965,-1.0244,-0.19116,-0.97182,-0.13101
4.2174,-0.29745,-1.0206,-0.22794,-0.96695,-0.026328
4.2024,-0.3432,-1.0065,-0.26416,-0.94275,0.12634
4.1906,-0.3864,-0.98425,-0.25169,-0.90933,0.28675
4.1791,-0.42425,-0.95155,-0.23924,-0.82982,0.46407
4.1675,-0.4547,-0.9115,-0.23515,-0.71809,0.62428
4.1576,-0.47655,-0.86445,-0.21379,-0.57325,0.76386
4.1494,-0.49055,-0.8145,-0.18685,-0.42614,0.86587
4.1421,-0.49975,-0.76525,-0.16779,-0.30754,0.92671
4.1394,-0.50545,-0.71515,-0.11097,-0.21136,0.96384
4.1409,-0.5085,-0.66495,-0.040633,-0.13698,0.98417
4.14,-0.5101,-0.61345,-0.029259,-0.084177,0.9945
4.1382,-0.51305,-0.56505,-0.033825,-0.072842,0.99669
4.1369,-0.51655,-0.51735,-0.029682,-0.072768,0.9969
4.1352,-0.5199,-0.4702,-0.033027,-0.072012,0.99685
4.134,-0.52275,-0.42215,-0.028835,-0.065705,0.99739
4.1326,-0.52505,-0.37315,-0.028147,-0.055848,0.99799
4.1312,-0.527,-0.32365,-0.028507,-0.047677,0.99842
4.1295,-0.5285,-0.27385,-0.032136,-0.039221,0.99867
4.1276,-0.52975,-0.2243,-0.034788,-0.031947,0.99885
4.1257,-0.5308,-0.1746,-0.036644,-0.026818,0.99895
4.1237,-0.53185,-0.12455,-0.037944,-0.023558,0.999
4.1208,-0.5338,-0.07475,-0.047595,-0.031633,0.99829
4.1172,-0.53545,-0.02535,-0.060877,-0.032029,0.99754
4.1081,-0.5376,0.02515,-0.1189,-0.037069,0.99048
4.0907,-0.5417,0.0725,-0.232,-0.059347,0.96364
4.0722,-0.55245,0.1187,-0.29845,-0.13512,0.93904
4.0495,-0.5669,0.1618,-0.373,-0.2101,0.89645
4.0252,-0.58265,0.20335,-0.42715,-0.26141,0.86162
3.9997,-0.5989,0.2437,-0.46771,-0.29236,0.83203
3.9719,-0.61795,0.2819,-0.50662,-0.33356,0.79199
3.9434,-0.63825,0.318,-0.53762,-0.36901,0.75581
3.9137,-0.66015,0.3531,-0.56111,-0.39976,0.72303
3.8822,-0.683,0.38545,-0.59227,-0.42572,0.68162
3.849,-0.7042,0.4166,-0.62697,-0.42428,0.65176
3.8141,-0.72565,0.44515,-0.66289,-0.42767,0.61221
3.7789,-0.75,0.47145,-0.68263,-0.45627,0.56804
3.7423,-0.77365,0.49785,-0.70106,-0.46045,0.54364
3.7049,-0.79605,0.5221,-0.72593,-0.45474,0.51454
3.6666,-0.81905,0.5442,-0.74708,-0.45851,0.47953
3.6282,-0.84175,0.56615,-0.76003,-0.45776,0.46075
3.589,-0.86405,0.58715,-0.77445,-0.45258,0.44135
3.5478,-0.88555,0.6069,-0.79507,-0.43962,0.4164
3.5054,-0.9054,0.62345,-0.82473,-0.41977,0.37501
3.4622,-0.9285,0.632,-0.84713,-0.44272,0.27408
3.4183,-0.9519,0.6373,-0.86485,-0.45625,0.19072
3.3746,-0.9758,0.6403,-0.87206,-0.46826,0.12571
3.3304,-0.9991,0.64105,-0.87906,-0.46817,0.070378
3.2854,-1.0214,0.64045,-0.88852,-0.45579,0.029187
3.2393,-1.0434,0.63485,-0.89298,-0.44282,-0.039594
3.1938,-1.0618,0.62885,-0.90791,-0.40747,-0.080634
3.1485,-1.081,0.6216,-0.91004,-0.3972,-0.11344
3.102,-1.0962,0.6139,-0.92468,-0.35241,-0.13455
3.0541,-1.1082,0.609,-0.94558,-0.29741,-0.11676
3.005,-1.1188,0.605,-0.96092,-0.25401,-0.098204
2.9558,-1.1283,0.60125,-0.97066,-0.2215,-0.086368
2.9068,-1.1374,0.59855,-0.97642,-0.20259,-0.070089
2.8576,-1.1443,0.5944,-0.98177,-0.17088,-0.076529
2.8085,-1.1527,0.5912,-0.98318,-0.16837,-0.070412
2.7589,-1.1592,0.58925,-0.98685,-0.15008,-0.055011
2.7094,-1.1658,0.5874,-0.98886,-0.14103,-0.045787
2.6596,-1.1721,0.5856,-0.99031,-0.1324,-0.040799
2.6099,-1.1769,0.5856,-0.99276,-0.11535,-0.020337
2.5599,-1.1821,0.5882,-0.99327,-0.10884,0.015472
2.5099,-1.1862,0.5921,-0.9938,-0.0949,0.046676
2.46,-1.1892,0.59455,-0.99564,-0.078412,0.04764
2.4108,-1.1921,0.59975,-0.99426,-0.068459,0.076352
2.3619,-1.1965,0.6088,-0.9872,-0.077167,0.12882
2.3128,-1.2007,0.62065,-0.97872,-0.080016,0.18128
2.2642,-1.2033,0.63295,-0.97403,-0.066834,0.21347
2.2177,-1.2059,0.64865,-0.96028,-0.05969,0.26684
2.1721,-1.2102,0.6672,-0.94244,-0.073604,0.32085
2.1261,-1.2154,0.6871,-0.9285,-0.088616,0.3581
2.0819,-1.219,0.70965,-0.90876,-0.079463,0.40625
2.0392,-1.2211,0.73565,-0.88163,-0.061441,0.46328
1.9963,-1.2212,0.7619,-0.8684,-0.031878,0.49289
1.954,-1.2178,0.79015,-0.84966,0.017478,0.52349
1.9126,-1.2174,0.81765,-0.84199,0.012653,0.53904
1.8728,-1.2172,0.84875,-0.81492,0.0083634,0.57757
1.8341,-1.2152,0.88095,-0.79207,0.024707,0.6085
1.7949,-1.2152,0.9122,-0.7875,0.01203,0.61601
1.755,-1.2138,0.9418,-0.7951,0.019628,0.60599
1.717,-1.214,0.9747,-0.77562,0.0081332,0.63028
1.6821,-1.2124,1.0093,-0.7433,0.020166,0.66677
1.6458,-1.2123,1.0436,-0.73484,0.01173,0.67795
1.6087,-1.2123,1.0767,-0.74111,0.0054873,0.67127
1.577,-1.2131,1.1167,-0.68109,-0.0045552,0.72748
1.5464,-1.2131,1.1544,-0.65659,-0.0029253,0.7534
1.5129,-1.2117,1.1916,-0.66324,0.011814,0.74812
1.4846,-1.2108,1.2325,-0.61538,0.01607,0.7857
1.4569,-1.2102,1.2738,-0.58725,0.014372,0.80847
1.4311,-1.209,1.3171,-0.54977,0.018384,0.83387
1.4078,-1.2065,1.3611,-0.50829,0.034368,0.85898
1.3867,-1.2081,1.4058,-0.46847,0.0016991,0.88168
1.3691,-1.2077,1.4519,-0.41308,0.0038525,0.9086
1.3559,-1.2077,1.4997,-0.34,0.0021577,0.93713
1.344,-1.2067,1.5466,-0.29292,0.0114,0.9547
1.3398,-1.2069,1.596,-0.18938,0.0036828,0.97614
1.3403,-1.207,1.6461,-0.090375,0.0014129,0.99082
1.3457,-1.2081,1.6966,0.0082948,-0.010543,0.99491
1.3507,-1.2091,1.7355,0.067101,-0.017956,0.99582
1.3654,-1.2112,1.7818,0.18486,-0.031091,0.97485
1.386,-1.2129,1.8271,0.30035,-0.031964,0.94574
1.4076,-1.2146,1.8728,0.36499,-0.033819,0.92797
1.4328,-1.2167,1.9152,0.43804,-0.037677,0.89455
1.4614,-1.2193,1.9561,0.50628,-0.044689,0.85767
1.4932,-1.2237,1.9939,0.57376,-0.066808,0.81189
1.5255,-1.2277,2.0305,0.61776,-0.074921,0.78089
1.5607,-1.2331,2.0644,0.66731,-0.092277,0.73578
1.5958,-1.2439,2.0991,0.68165,-0.15362,0.71219
1.6319,-1.2607,2.1317,0.69297,-0.23976,0.6732
1.667,-1.2751,2.1633,0.70333,-0.26561,0.65863
1.7084,-1.2906,2.1894,0.75508,-0.2842,0.58343
1.7485,-1.3061,2.215,0.7797,-0.2976,0.54913
1.789,-1.3222,2.239,0.79722,-0.31031,0.51634
1.8317,-1.3353,2.2633,0.8188,-0.28462,0.49704
1.8744,-1.3488,2.286,0.83509,-0.27634,0.4748
1.9163,-1.3615,2.3088,0.84178,-0.26763,0.46864
1.9589,-1.3725,2.3312,0.85229,-0.24497,0.46143
2.0028,-1.3821,2.3523,0.86875,-0.21906,0.44271
2.0466,-1.3906,2.3758,0.86915,-0.1935,0.45426
2.0914,-1.3973,2.3977,0.87974,-0.16405,0.44507
2.1353,-1.4013,2.4196,0.88573,-0.12298,0.44569
2.1807,-1.3998,2.4409,0.89612,-0.046486,0.4344
2.2276,-1.3942,2.4569,0.91959,0.032847,0.3785
2.2744,-1.372,2.4708,0.89814,0.22369,0.32041
2.3178,-1.3504,2.4841,0.89013,0.32954,0.29511
2.359,-1.323,2.4948,0.85514,0.43561,0.25439
2.3952,-1.291,2.5079,0.79162,0.53972,0.25881
2.4257,-1.2568,2.5242,0.71211,0.62351,0.29842
2.443,-1.2204,2.546,0.54866,0.71129,0.38744
2.4395,-1.1837,2.5761,0.24379,0.74876,0.51466
2.4107,-1.1505,2.6115,-0.12607,0.692,0.58691
